状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0                                                                                                   a = 4 ^ 5 ; b = √ 9                               (0,id)→r2：根据stmts→ε 归约：将状态栈和符号栈都出栈0个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             a = 4 ^ 5 ; b = √ 9                               (1,id)→s7
0 1 7                                             stmts id                                          = 4 ^ 5 ; b = √ 9 ;                               (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = 4 ^ 5 ; b = √ 9 ;                               (6,=)→s14
0 1 6 14                                          stmts id2 =                                       4 ^ 5 ; b = √ 9 ; c                               (14,num)→s53
0 1 6 14 53                                       stmts id2 = num                                   ^ 5 ; b = √ 9 ; c =                               (53,^)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                ^ 5 ; b = √ 9 ; c =                               (49,^)→s192
0 1 6 14 49 192                                   stmts id2 = factor ^                              5 ; b = √ 9 ; c = [                               (192,num)→s53
0 1 6 14 49 192 53                                stmts id2 = factor ^ num                          ; b = √ 9 ; c = [ 3                               (53,;)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(192,factor)→49
0 1 6 14 49 192 49                                stmts id2 = factor ^ factor                       ; b = √ 9 ; c = [ 3                               (49,;)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(192,unary)→430
0 1 6 14 49 192 430                               stmts id2 = factor ^ unary                        ; b = √ 9 ; c = [ 3                               (430,;)→r45：根据unary→factor ^ unary归约：将状态栈和符号栈都出栈3个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 ; b = √ 9 ; c = [ 3                               (46,;)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  ; b = √ 9 ; c = [ 3                               (45,;)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(14,expr)→44
0 1 6 14 44                                       stmts id2 = expr                                  ; b = √ 9 ; c = [ 3                               (44,;)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(14,rel)→43
0 1 6 14 43                                       stmts id2 = rel                                   ; b = √ 9 ; c = [ 3                               (43,;)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              ; b = √ 9 ; c = [ 3                               (42,;)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(14,join)→41
0 1 6 14 41                                       stmts id2 = join                                  ; b = √ 9 ; c = [ 3                               (41,;)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(14,bool)→39
