状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0                                                                                                   a = 0 || 0 ; a2 = 0 ||                            (0,id)→r2：根据stmts→ε 归约：将状态栈和符号栈都出栈0个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             a = 0 || 0 ; a2 = 0 ||                            (1,id)→s7
0 1 7                                             stmts id                                          = 0 || 0 ; a2 = 0 || 1                            (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = 0 || 0 ; a2 = 0 || 1                            (6,=)→s14
0 1 6 14                                          stmts id2 =                                       0 || 0 ; a2 = 0 || 1 b                            (14,num)→s53
0 1 6 14 53                                       stmts id2 = num                                   || 0 ; a2 = 0 || 1 b =                            (53,||)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                || 0 ; a2 = 0 || 1 b =                            (49,||)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 || 0 ; a2 = 0 || 1 b =                            (46,||)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  || 0 ; a2 = 0 || 1 b =                            (45,||)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(14,expr)→44
0 1 6 14 44                                       stmts id2 = expr                                  || 0 ; a2 = 0 || 1 b =                            (44,||)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(14,rel)→43
0 1 6 14 43                                       stmts id2 = rel                                   || 0 ; a2 = 0 || 1 b =                            (43,||)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              || 0 ; a2 = 0 || 1 b =                            (42,||)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(14,join)→41
0 1 6 14 41                                       stmts id2 = join                                  || 0 ; a2 = 0 || 1 b =                            (41,||)→s176
0 1 6 14 41 176                                   stmts id2 = join ||                               0 ; a2 = 0 || 1 b = 1                             (176,num)→s53
0 1 6 14 41 176 53                                stmts id2 = join || num                           ; a2 = 0 || 1 b = 1 &&                            (53,;)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(176,factor)→49
0 1 6 14 41 176 49                                stmts id2 = join || factor                        ; a2 = 0 || 1 b = 1 &&                            (49,;)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(176,unary)→46
0 1 6 14 41 176 46                                stmts id2 = join || unary                         ; a2 = 0 || 1 b = 1 &&                            (46,;)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(176,term)→45
0 1 6 14 41 176 45                                stmts id2 = join || term                          ; a2 = 0 || 1 b = 1 &&                            (45,;)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(176,expr)→44
0 1 6 14 41 176 44                                stmts id2 = join || expr                          ; a2 = 0 || 1 b = 1 &&                            (44,;)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(176,rel)→43
