状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0                                                                                                   a = b = 0 , i = 1 ;                               (0,id)→r2：根据stmts→ε 归约：将状态栈和符号栈都出栈0个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             a = b = 0 , i = 1 ;                               (1,id)→s7
0 1 7                                             stmts id                                          = b = 0 , i = 1 ; while                           (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = b = 0 , i = 1 ; while                           (6,=)→s14
0 1 6 14                                          stmts id2 =                                       b = 0 , i = 1 ; while (                           (14,id)→s40
0 1 6 14 40                                       stmts id2 = id                                    = 0 , i = 1 ; while ( i                           (40,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(14,id2)→38
0 1 6 14 38                                       stmts id2 = id2                                   = 0 , i = 1 ; while ( i                           (38,=)→s174
0 1 6 14 38 174                                   stmts id2 = id2 =                                 0 , i = 1 ; while ( i <                           (174,num)→s53
0 1 6 14 38 174 53                                stmts id2 = id2 = num                             , i = 1 ; while ( i < 5                           (53,,)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(174,factor)→49
0 1 6 14 38 174 49                                stmts id2 = id2 = factor                          , i = 1 ; while ( i < 5                           (49,,)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(174,unary)→46
0 1 6 14 38 174 46                                stmts id2 = id2 = unary                           , i = 1 ; while ( i < 5                           (46,,)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(174,term)→45
0 1 6 14 38 174 45                                stmts id2 = id2 = term                            , i = 1 ; while ( i < 5                           (45,,)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(174,expr)→44
0 1 6 14 38 174 44                                stmts id2 = id2 = expr                            , i = 1 ; while ( i < 5                           (44,,)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(174,rel)→43
0 1 6 14 38 174 43                                stmts id2 = id2 = rel                             , i = 1 ; while ( i < 5                           (43,,)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(174,equality)→42
0 1 6 14 38 174 42                                stmts id2 = id2 = equality                        , i = 1 ; while ( i < 5                           (42,,)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(174,join)→41
0 1 6 14 38 174 41                                stmts id2 = id2 = join                            , i = 1 ; while ( i < 5                           (41,,)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(174,bool)→39
0 1 6 14 38 174 39                                stmts id2 = id2 = bool                            , i = 1 ; while ( i < 5                           (39,,)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(174,s2)→386
0 1 6 14 38 174 386                               stmts id2 = id2 = s2                              , i = 1 ; while ( i < 5                           (386,,)→r68：根据s2→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s2加到符号栈里，再(14,s2)→37
0 1 6 14 37                                       stmts id2 = s2                                    , i = 1 ; while ( i < 5                           (37,,)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(1,s)→3
0 1 3                                             stmts s                                           , i = 1 ; while ( i < 5                           (3,,)→s8
0 1 3 8                                           stmts s ,                                         i = 1 ; while ( i < 5 )                           (8,id)→r3：根据stmt→s ,归约：将状态栈和符号栈都出栈2个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        i = 1 ; while ( i < 5 )                           (2,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             i = 1 ; while ( i < 5 )                           (1,id)→s7
0 1 7                                             stmts id                                          = 1 ; while ( i < 5 ) {                           (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = 1 ; while ( i < 5 ) {                           (6,=)→s14
0 1 6 14                                          stmts id2 =                                       1 ; while ( i < 5 ) { a                           (14,num)→s53
0 1 6 14 53                                       stmts id2 = num                                   ; while ( i < 5 ) { a +=                          (53,;)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                ; while ( i < 5 ) { a +=                          (49,;)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 ; while ( i < 5 ) { a +=                          (46,;)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  ; while ( i < 5 ) { a +=                          (45,;)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(14,expr)→44
0 1 6 14 44                                       stmts id2 = expr                                  ; while ( i < 5 ) { a +=                          (44,;)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(14,rel)→43
0 1 6 14 43                                       stmts id2 = rel                                   ; while ( i < 5 ) { a +=                          (43,;)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              ; while ( i < 5 ) { a +=                          (42,;)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(14,join)→41
0 1 6 14 41                                       stmts id2 = join                                  ; while ( i < 5 ) { a +=                          (41,;)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(14,bool)→39
0 1 6 14 39                                       stmts id2 = bool                                  ; while ( i < 5 ) { a +=                          (39,;)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(14,s2)→37
0 1 6 14 37                                       stmts id2 = s2                                    ; while ( i < 5 ) { a +=                          (37,;)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(1,s)→3
0 1 3                                             stmts s                                           ; while ( i < 5 ) { a +=                          (3,;)→s9
0 1 3 9                                           stmts s ;                                         while ( i < 5 ) { a += i                          (9,while)→r4：根据stmt→s ;归约：将状态栈和符号栈都出栈2个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        while ( i < 5 ) { a += i                          (2,while)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             while ( i < 5 ) { a += i                          (1,while)→r62：根据i0→ε归约：将状态栈和符号栈都出栈0个，再将i0加到符号栈里，再(1,i0)→5
0 1 5                                             stmts i0                                          while ( i < 5 ) { a += i                          (5,while)→r66：根据w0→ε归约：将状态栈和符号栈都出栈0个，再将w0加到符号栈里，再(5,w0)→12
0 1 5 12                                          stmts i0 w0                                       while ( i < 5 ) { a += i                          (12,while)→s35
0 1 5 12 35                                       stmts i0 w0 while                                 ( i < 5 ) { a += i ;                              (35,()→s140
0 1 5 12 35 140                                   stmts i0 w0 while (                               i < 5 ) { a += i ; b                              (140,id)→s173
0 1 5 12 35 140 173                               stmts i0 w0 while ( id                            < 5 ) { a += i ; b +=                             (173,<)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(140,id2)→154
0 1 5 12 35 140 154                               stmts i0 w0 while ( id2                           < 5 ) { a += i ; b +=                             (154,<)→r38：根据factor→id2归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(140,factor)→150
0 1 5 12 35 140 150                               stmts i0 w0 while ( factor                        < 5 ) { a += i ; b +=                             (150,<)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(140,unary)→147
0 1 5 12 35 140 147                               stmts i0 w0 while ( unary                         < 5 ) { a += i ; b +=                             (147,<)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(140,term)→146
0 1 5 12 35 140 146                               stmts i0 w0 while ( term                          < 5 ) { a += i ; b +=                             (146,<)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(140,expr)→145
0 1 5 12 35 140 145                               stmts i0 w0 while ( expr                          < 5 ) { a += i ; b +=                             (145,<)→s352
0 1 5 12 35 140 145 352                           stmts i0 w0 while ( expr <                        5 ) { a += i ; b += a                             (352,num)→s654
0 1 5 12 35 140 145 352 654                       stmts i0 w0 while ( expr < num                    ) { a += i ; b += a ;                             (654,))→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(352,factor)→649
0 1 5 12 35 140 145 352 649                       stmts i0 w0 while ( expr < factor                 ) { a += i ; b += a ;                             (649,))→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(352,unary)→646
0 1 5 12 35 140 145 352 646                       stmts i0 w0 while ( expr < unary                  ) { a += i ; b += a ;                             (646,))→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(352,term)→645
0 1 5 12 35 140 145 352 645                       stmts i0 w0 while ( expr < term                   ) { a += i ; b += a ;                             (645,))→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(352,expr)→644
0 1 5 12 35 140 145 352 644                       stmts i0 w0 while ( expr < expr                   ) { a += i ; b += a ;                             (644,))→r22：根据rel→expr < expr归约：将状态栈和符号栈都出栈3个，再将rel加到符号栈里，再(140,rel)→144
