状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0                                                                                                   if ( 0 ) a2 = 0 if ( 1                            (0,if)→r2：根据stmts→ε 归约：将状态栈和符号栈都出栈0个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             if ( 0 ) a2 = 0 if ( 1                            (1,if)→r62：根据i0→ε归约：将状态栈和符号栈都出栈0个，再将i0加到符号栈里，再(1,i0)→5
0 1 5                                             stmts i0                                          if ( 0 ) a2 = 0 if ( 1                            (5,if)→s13
0 1 5 13                                          stmts i0 if                                       ( 0 ) a2 = 0 if ( 1 )                             (13,()→s36
0 1 5 13 36                                       stmts i0 if (                                     0 ) a2 = 0 if ( 1 ) {                             (36,num)→s155
0 1 5 13 36 155                                   stmts i0 if ( num                                 ) a2 = 0 if ( 1 ) { a                             (155,))→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(36,factor)→150
0 1 5 13 36 150                                   stmts i0 if ( factor                              ) a2 = 0 if ( 1 ) { a                             (150,))→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(36,unary)→147
0 1 5 13 36 147                                   stmts i0 if ( unary                               ) a2 = 0 if ( 1 ) { a                             (147,))→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(36,term)→146
0 1 5 13 36 146                                   stmts i0 if ( term                                ) a2 = 0 if ( 1 ) { a                             (146,))→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(36,expr)→145
0 1 5 13 36 145                                   stmts i0 if ( expr                                ) a2 = 0 if ( 1 ) { a                             (145,))→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(36,rel)→144
0 1 5 13 36 144                                   stmts i0 if ( rel                                 ) a2 = 0 if ( 1 ) { a                             (144,))→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(36,equality)→143
0 1 5 13 36 143                                   stmts i0 if ( equality                            ) a2 = 0 if ( 1 ) { a                             (143,))→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(36,join)→142
0 1 5 13 36 142                                   stmts i0 if ( join                                ) a2 = 0 if ( 1 ) { a                             (142,))→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(36,bool)→141
0 1 5 13 36 141                                   stmts i0 if ( bool                                ) a2 = 0 if ( 1 ) { a                             (141,))→s347
0 1 5 13 36 141 347                               stmts i0 if ( bool )                              a2 = 0 if ( 1 ) { a =                             (347,id)→r63：根据i→if ( bool )归约：将状态栈和符号栈都出栈4个，再将i加到符号栈里，再(5,i)→11
