状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0                                                                                                   a = lb ( 1024 ) ; b = ln                          (0,id)→r2：根据stmts→ε 归约：将状态栈和符号栈都出栈0个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             a = lb ( 1024 ) ; b = ln                          (1,id)→s7
0 1 7                                             stmts id                                          = lb ( 1024 ) ; b = ln (                          (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = lb ( 1024 ) ; b = ln (                          (6,=)→s14
0 1 6 14                                          stmts id2 =                                       lb ( 1024 ) ; b = ln ( E                          (14,lb)→s62
0 1 6 14 62                                       stmts id2 = lb                                    ( 1024 ) ; b = ln ( E ^                           (62,()→s204
0 1 6 14 62 204                                   stmts id2 = lb (                                  1024 ) ; b = ln ( E ^ -                           (204,num)→s155
0 1 6 14 62 204 155                               stmts id2 = lb ( num                              ) ; b = ln ( E ^ - 3                              (155,))→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(204,factor)→150
0 1 6 14 62 204 150                               stmts id2 = lb ( factor                           ) ; b = ln ( E ^ - 3                              (150,))→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(204,unary)→147
0 1 6 14 62 204 147                               stmts id2 = lb ( unary                            ) ; b = ln ( E ^ - 3                              (147,))→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(204,term)→146
0 1 6 14 62 204 146                               stmts id2 = lb ( term                             ) ; b = ln ( E ^ - 3                              (146,))→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(204,expr)→145
0 1 6 14 62 204 145                               stmts id2 = lb ( expr                             ) ; b = ln ( E ^ - 3                              (145,))→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(204,rel)→144
0 1 6 14 62 204 144                               stmts id2 = lb ( rel                              ) ; b = ln ( E ^ - 3                              (144,))→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(204,equality)→143
